
ACCX_Angle -176.47	ACCY_Angle 167.67		GRYX_Angle  6.18	GYRY_Angle  6.18	GYRZ_Angle  6.17		CFangleX_Angle -175.63	CFangleY_Angle 167.96		HEADING  11.01	tiltCompensatedHeading  5.71
ACCX_Angle -176.25	ACCY_Angle 167.74		GRYX_Angle  6.39	GYRY_Angle  6.39	GYRZ_Angle  6.38		CFangleX_Angle -175.58	CFangleY_Angle 168.08		HEADING  10.76	tiltCompensatedHeading  4.36
ACCX_Angle -176.90	ACCY_Angle 167.04		GRYX_Angle  6.62	GYRY_Angle  6.62	GYRZ_Angle  6.61		CFangleX_Angle -175.66	CFangleY_Angle 168.05		HEADING  10.76	tiltCompensatedHeading  7.49
ACCX_Angle -177.03	ACCY_Angle 167.56		GRYX_Angle  6.83	GYRY_Angle  6.83	GYRZ_Angle  6.82		CFangleX_Angle -175.77	CFangleY_Angle 168.13		HEADING  11.21	tiltCompensatedHeading  8.69
ACCX_Angle -176.81	ACCY_Angle 167.35		GRYX_Angle  7.03	GYRY_Angle  7.03	GYRZ_Angle  7.02		CFangleX_Angle -175.81	CFangleY_Angle 168.13		HEADING  11.21	tiltCompensatedHeading  7.84
ACCX_Angle -176.64	ACCY_Angle 167.79		GRYX_Angle  7.25	GYRY_Angle  7.25	GYRZ_Angle  7.24		CFangleX_Angle -175.80	CFangleY_Angle 168.24		HEADING  11.14	tiltCompensatedHeading  6.71
ACCX_Angle -176.62	ACCY_Angle 167.24		GRYX_Angle  7.48	GYRY_Angle  7.47	GYRZ_Angle  7.46		CFangleX_Angle -175.78	CFangleY_Angle 168.21		HEADING  11.14	tiltCompensatedHeading  6.90
ACCX_Angle -177.19	ACCY_Angle 167.67		GRYX_Angle  7.69	GYRY_Angle  7.71	GYRZ_Angle  7.71		CFangleX_Angle -175.89	CFangleY_Angle 168.30		HEADING  10.81	tiltCompensatedHeading  8.50
ACCX_Angle -176.94	ACCY_Angle 167.44		GRYX_Angle  7.94	GYRY_Angle  7.96	GYRZ_Angle  7.97		CFangleX_Angle -175.91	CFangleY_Angle 168.32		HEADING  10.81	tiltCompensatedHeading  7.54
ACCX_Angle -176.92	ACCY_Angle 167.45		GRYX_Angle  8.21	GYRY_Angle  8.23	GYRZ_Angle  8.24		CFangleX_Angle -175.89	CFangleY_Angle 168.36		HEADING  11.10	tiltCompensatedHeading  8.00
ACCX_Angle -177.62	ACCY_Angle 168.01		GRYX_Angle  8.46	GYRY_Angle  8.48	GYRZ_Angle  8.50		CFangleX_Angle -176.03	CFangleY_Angle 168.50		HEADING  11.10	tiltCompensatedHeading 10.64
ACCX_Angle -177.22	ACCY_Angle 167.50		GRYX_Angle  8.71	GYRY_Angle  8.73	GYRZ_Angle  8.75		CFangleX_Angle -176.07	CFangleY_Angle 168.50		HEADING  10.87	tiltCompensatedHeading  8.81
ACCX_Angle -176.78	ACCY_Angle 167.86		GRYX_Angle  8.95	GYRY_Angle  8.97	GYRZ_Angle  8.98		CFangleX_Angle -176.02	CFangleY_Angle 168.56		HEADING  10.87	tiltCompensatedHeading  6.72
ACCX_Angle -176.82	ACCY_Angle 167.53		GRYX_Angle  9.19	GYRY_Angle  9.21	GYRZ_Angle  9.22		CFangleX_Angle -175.99	CFangleY_Angle 168.54		HEADING  11.19	tiltCompensatedHeading  7.73
ACCX_Angle -176.98	ACCY_Angle 167.67		GRYX_Angle  9.44	GYRY_Angle  9.46	GYRZ_Angle  9.48		CFangleX_Angle -175.99	CFangleY_Angle 168.57		HEADING  11.19	tiltCompensatedHeading  8.38
ACCX_Angle -176.91	ACCY_Angle 167.48		GRYX_Angle  9.66	GYRY_Angle  9.68	GYRZ_Angle  9.70		CFangleX_Angle -175.99	CFangleY_Angle 168.53		HEADING  11.05	tiltCompensatedHeading  7.92
ACCX_Angle -176.86	ACCY_Angle 167.76		GRYX_Angle  9.87	GYRY_Angle  9.89	GYRZ_Angle  9.91		CFangleX_Angle -176.00	CFangleY_Angle 168.54		HEADING  11.05	tiltCompensatedHeading  7.46
ACCX_Angle -176.18	ACCY_Angle 167.66		GRYX_Angle 10.11	GYRY_Angle 10.13	GYRZ_Angle 10.14		CFangleX_Angle -175.85	CFangleY_Angle 168.56		HEADING  11.09	tiltCompensatedHeading  4.66
ACCX_Angle -176.95	ACCY_Angle 167.24		GRYX_Angle 10.35	GYRY_Angle 10.37	GYRZ_Angle 10.38		CFangleX_Angle -175.87	CFangleY_Angle 168.49		HEADING  11.09	tiltCompensatedHeading  8.31
ACCX_Angle -177.10	ACCY_Angle 167.47		GRYX_Angle 10.59	GYRY_Angle 10.61	GYRZ_Angle 10.62		CFangleX_Angle -175.93	CFangleY_Angle 168.47		HEADING  11.34	tiltCompensatedHeading  9.30
ACCX_Angle -176.98	ACCY_Angle 167.91		GRYX_Angle 10.83	GYRY_Angle 10.83	GYRZ_Angle 10.84		CFangleX_Angle -175.95	CFangleY_Angle 168.54		HEADING  11.34	tiltCompensatedHeading  8.48
ACCX_Angle -176.93	ACCY_Angle 167.58		GRYX_Angle 11.05	GYRY_Angle 11.05	GYRZ_Angle 11.06		CFangleX_Angle -175.97	CFangleY_Angle 168.52		HEADING  11.20	tiltCompensatedHeading  8.16
ACCX_Angle -177.00	ACCY_Angle 167.31		GRYX_Angle 11.27	GYRY_Angle 11.27	GYRZ_Angle 11.28		CFangleX_Angle -176.00	CFangleY_Angle 168.46		HEADING  10.92	tiltCompensatedHeading  8.13
ACCX_Angle -177.17	ACCY_Angle 167.68		GRYX_Angle 11.51	GYRY_Angle 11.51	GYRZ_Angle 11.52		CFangleX_Angle -176.04	CFangleY_Angle 168.49		HEADING  10.94	tiltCompensatedHeading  8.68
ACCX_Angle -176.90	ACCY_Angle 167.56		GRYX_Angle 11.77	GYRY_Angle 11.77	GYRZ_Angle 11.79		CFangleX_Angle -176.00	CFangleY_Angle 168.52		HEADING  11.07	tiltCompensatedHeading  7.85
ACCX_Angle -176.99	ACCY_Angle 167.63		GRYX_Angle 11.98	GYRY_Angle 11.99	GYRZ_Angle 12.00		CFangleX_Angle -176.03	CFangleY_Angle 168.51		HEADING  11.09	tiltCompensatedHeading  8.21
ACCX_Angle -176.82	ACCY_Angle 167.42		GRYX_Angle 12.21	GYRY_Angle 12.22	GYRZ_Angle 12.23		CFangleX_Angle -176.00	CFangleY_Angle 168.48		HEADING  10.97	tiltCompensatedHeading  7.38
ACCX_Angle -177.32	ACCY_Angle 167.35		GRYX_Angle 12.45	GYRY_Angle 12.45	GYRZ_Angle 12.47		CFangleX_Angle -176.08	CFangleY_Angle 168.44		HEADING  10.97	tiltCompensatedHeading  9.61
ACCX_Angle -176.79	ACCY_Angle 167.53		GRYX_Angle 12.67	GYRY_Angle 12.67	GYRZ_Angle 12.69		CFangleX_Angle -176.04	CFangleY_Angle 168.43		HEADING  11.17	tiltCompensatedHeading  7.64
ACCX_Angle -176.79	ACCY_Angle 167.50		GRYX_Angle 12.88	GYRY_Angle 12.88	GYRZ_Angle 12.89		CFangleX_Angle -176.03	CFangleY_Angle 168.41		HEADING  11.17	tiltCompensatedHeading  7.66
ACCX_Angle -176.96	ACCY_Angle 166.96		GRYX_Angle 13.09	GYRY_Angle 13.09	GYRZ_Angle 13.11		CFangleX_Angle -176.04	CFangleY_Angle 168.29		HEADING  10.76	tiltCompensatedHeading  7.85
ACCX_Angle -177.31	ACCY_Angle 167.61		GRYX_Angle 13.29	GYRY_Angle 13.29	GYRZ_Angle 13.31		CFangleX_Angle -176.14	CFangleY_Angle 168.32		HEADING  10.76	tiltCompensatedHeading  8.99
ACCX_Angle -176.56	ACCY_Angle 167.45		GRYX_Angle 13.51	GYRY_Angle 13.51	GYRZ_Angle 13.53		CFangleX_Angle -176.04	CFangleY_Angle 168.32		HEADING  10.66	tiltCompensatedHeading  5.58
ACCX_Angle -176.73	ACCY_Angle 167.19		GRYX_Angle 13.74	GYRY_Angle 13.74	GYRZ_Angle 13.76		CFangleX_Angle -176.00	CFangleY_Angle 168.28		HEADING  10.66	tiltCompensatedHeading  6.45
ACCX_Angle -176.92	ACCY_Angle 167.35		GRYX_Angle 13.99	GYRY_Angle 13.99	GYRZ_Angle 14.01		CFangleX_Angle -175.98	CFangleY_Angle 168.29		HEADING  11.06	tiltCompensatedHeading  8.06
ACCX_Angle -176.68	ACCY_Angle 167.43		GRYX_Angle 14.21	GYRY_Angle 14.21	GYRZ_Angle 14.22		CFangleX_Angle -175.95	CFangleY_Angle 168.29		HEADING  11.06	tiltCompensatedHeading  7.00
ACCX_Angle -176.90	ACCY_Angle 167.80		GRYX_Angle 14.40	GYRY_Angle 14.40	GYRZ_Angle 14.42		CFangleX_Angle -175.98	CFangleY_Angle 168.35		HEADING  10.69	tiltCompensatedHeading  7.12
ACCX_Angle -177.03	ACCY_Angle 167.53		GRYX_Angle 14.61	GYRY_Angle 14.62	GYRZ_Angle 14.63		CFangleX_Angle -176.02	CFangleY_Angle 168.36		HEADING  10.69	tiltCompensatedHeading  7.76
ACCX_Angle -176.74	ACCY_Angle 167.58		GRYX_Angle 14.83	GYRY_Angle 14.84	GYRZ_Angle 14.85		CFangleX_Angle -175.99	CFangleY_Angle 168.38		HEADING  11.06	tiltCompensatedHeading  7.19
ACCX_Angle -176.93	ACCY_Angle 167.63		GRYX_Angle 15.04	GYRY_Angle 15.05	GYRZ_Angle 15.06		CFangleX_Angle -176.01	CFangleY_Angle 168.40		HEADING  10.72	tiltCompensatedHeading  7.30
ACCX_Angle -176.88	ACCY_Angle 167.59		GRYX_Angle 15.28	GYRY_Angle 15.28	GYRZ_Angle 15.29		CFangleX_Angle -176.00	CFangleY_Angle 168.42		HEADING  10.82	tiltCompensatedHeading  7.25
ACCX_Angle -176.56	ACCY_Angle 167.23		GRYX_Angle 15.51	GYRY_Angle 15.52	GYRZ_Angle 15.54		CFangleX_Angle -175.92	CFangleY_Angle 168.38		HEADING  11.17	tiltCompensatedHeading  6.63
ACCX_Angle -177.04	ACCY_Angle 167.52		GRYX_Angle 15.75	GYRY_Angle 15.77	GYRZ_Angle 15.76		CFangleX_Angle -175.95	CFangleY_Angle 168.40		HEADING  11.12	tiltCompensatedHeading  8.54
ACCX_Angle -176.94	ACCY_Angle 167.09		GRYX_Angle 15.98	GYRY_Angle 15.99	GYRZ_Angle 15.99		CFangleX_Angle -175.97	CFangleY_Angle 168.32		HEADING  10.98	tiltCompensatedHeading  8.09
ACCX_Angle -176.91	ACCY_Angle 167.48		GRYX_Angle 16.23	GYRY_Angle 16.25	GYRZ_Angle 16.24		CFangleX_Angle -175.95	CFangleY_Angle 168.35		HEADING  10.93	tiltCompensatedHeading  7.67
ACCX_Angle -177.19	ACCY_Angle 167.48		GRYX_Angle 16.47	GYRY_Angle 16.49	GYRZ_Angle 16.49		CFangleX_Angle -176.01	CFangleY_Angle 168.37		HEADING  10.93	tiltCompensatedHeading  8.87
ACCX_Angle -176.92	ACCY_Angle 167.15		GRYX_Angle 16.72	GYRY_Angle 16.73	GYRZ_Angle 16.73		CFangleX_Angle -175.99	CFangleY_Angle 168.32		HEADING  11.05	tiltCompensatedHeading  8.12
ACCX_Angle -177.08	ACCY_Angle 167.53		GRYX_Angle 16.96	GYRY_Angle 16.98	GYRZ_Angle 16.98		CFangleX_Angle -176.02	CFangleY_Angle 168.36		HEADING  11.05	tiltCompensatedHeading  8.62
ACCX_Angle -176.94	ACCY_Angle 167.35		GRYX_Angle 17.18	GYRY_Angle 17.19	GYRZ_Angle 17.19		CFangleX_Angle -176.03	CFangleY_Angle 168.33		HEADING  10.87	tiltCompensatedHeading  7.76
