
ACCX_Angle -176.90	ACCY_Angle 168.00		GRYX_Angle  6.10	GYRY_Angle  6.10	GYRZ_Angle  6.10		CFangleX_Angle -175.65	CFangleY_Angle 168.01		HEADING  10.91 tiltCompensatedHeading  7.25
ACCX_Angle -177.09	ACCY_Angle 167.38		GRYX_Angle  6.35	GYRY_Angle  6.35	GYRZ_Angle  6.35		CFangleX_Angle -175.74	CFangleY_Angle 168.08		HEADING  10.91 tiltCompensatedHeading  8.47
ACCX_Angle -177.23	ACCY_Angle 167.48		GRYX_Angle  6.58	GYRY_Angle  6.58	GYRZ_Angle  6.59		CFangleX_Angle -175.85	CFangleY_Angle 168.15		HEADING  11.05 tiltCompensatedHeading  9.29
ACCX_Angle -176.90	ACCY_Angle 167.63		GRYX_Angle  6.81	GYRY_Angle  6.81	GYRZ_Angle  6.81		CFangleX_Angle -175.88	CFangleY_Angle 168.22		HEADING  10.63 tiltCompensatedHeading  7.00
ACCX_Angle -176.68	ACCY_Angle 167.66		GRYX_Angle  7.01	GYRY_Angle  7.01	GYRZ_Angle  7.01		CFangleX_Angle -175.88	CFangleY_Angle 168.27		HEADING  10.61 tiltCompensatedHeading  6.01
ACCX_Angle -176.58	ACCY_Angle 167.25		GRYX_Angle  7.23	GYRY_Angle  7.23	GYRZ_Angle  7.24		CFangleX_Angle -175.84	CFangleY_Angle 168.25		HEADING  11.02 tiltCompensatedHeading  6.52
ACCX_Angle -176.63	ACCY_Angle 167.61		GRYX_Angle  7.46	GYRY_Angle  7.46	GYRZ_Angle  7.46		CFangleX_Angle -175.82	CFangleY_Angle 168.30		HEADING  10.98 tiltCompensatedHeading  6.51
ACCX_Angle -176.81	ACCY_Angle 167.27		GRYX_Angle  7.67	GYRY_Angle  7.67	GYRZ_Angle  7.67		CFangleX_Angle -175.85	CFangleY_Angle 168.26		HEADING  11.01 tiltCompensatedHeading  7.41
ACCX_Angle -176.90	ACCY_Angle 167.39		GRYX_Angle  7.88	GYRY_Angle  7.88	GYRZ_Angle  7.88		CFangleX_Angle -175.89	CFangleY_Angle 168.25		HEADING  11.01 tiltCompensatedHeading  7.76
ACCX_Angle -176.54	ACCY_Angle 167.44		GRYX_Angle  8.08	GYRY_Angle  8.08	GYRZ_Angle  8.08		CFangleX_Angle -175.86	CFangleY_Angle 168.25		HEADING  10.97 tiltCompensatedHeading  6.20
ACCX_Angle -177.17	ACCY_Angle 167.33		GRYX_Angle  8.29	GYRY_Angle  8.29	GYRZ_Angle  8.31		CFangleX_Angle -175.96	CFangleY_Angle 168.23		HEADING  10.97 tiltCompensatedHeading  9.00
ACCX_Angle -177.11	ACCY_Angle 167.53		GRYX_Angle  8.52	GYRY_Angle  8.52	GYRZ_Angle  8.54		CFangleX_Angle -176.01	CFangleY_Angle 168.28		HEADING  10.96 tiltCompensatedHeading  8.53
